year,Atm,Nep,Min,Sed,Neptot,EntrEpi,EntrHyp,id
2003,-186.70147132775764,621.4381667324416,-309.9787942902904,130.16090281449513,441.6202752566463,-170.42161290929462,159.8300321943566,Fish
2004,79.83399851541648,474.9914060052765,-389.94811010398143,170.3712781069355,255.41457400823055,-201.18918628283114,180.097007940034,Fish
2005,-333.49269953926495,851.6226251127714,-389.08265669248203,144.4810201859213,607.0209886062107,-225.22365733934762,206.29936538144165,Fish
2006,-177.3085614719401,679.3366990693959,-336.7534136613306,151.70890187714696,494.2921872852122,-177.91164151791165,160.42368227042104,Fish
2007,90.26340945669868,320.2091916315751,-305.67118361137466,130.53133968147338,145.06934770167382,-154.79128792533467,156.56594891716708,Fish
2008,302.2342880081504,246.50694491926114,-417.9323978906735,125.62691637744182,-45.798536593970525,-183.87919612980363,156.01799901718545,Fish
2009,350.44249265024445,215.17553453135895,-423.85074524923965,144.86840940024646,-63.80680131763424,-225.56188688127523,179.56651315616054,Fish
2010,604.8386071236184,-84.15644038511152,-406.6982395324731,133.8053230694927,-357.049356848092,-236.6199790025987,167.1463811303409,Fish
2011,131.23788274492617,461.2165674079804,-469.43080317509504,140.2710392307509,132.05680346363624,-214.00189476243682,227.18805527135027,Fish
2012,513.198574609195,113.05046979604117,-445.6605498827783,129.51206518942166,-203.09801489731547,-232.69797318925745,191.1266009125394,Fish
2013,4.7660390529923795,433.63696137206176,-317.4813561972991,143.28878223039263,259.44438740515534,-177.14896149529957,188.7653181694708,Fish
2014,76.87033467029569,495.44478436832406,-386.16167353651144,165.1906275250517,274.4737383568643,-198.55299836958193,167.98697939330825,Fish
2015,351.17029436569453,208.91061974787783,-395.31691904944336,157.83916039852645,-28.56713890303908,-221.92969137909787,194.63038926663938,Fish
2016,119.59474616178345,322.5322969629798,-296.3561939298233,156.6734796679727,182.8495827011292,-218.29037831430526,188.2221175654891,Fish
2017,416.2346477625731,-23.017289840915378,-257.1434937681089,130.13716604879107,-150.02361756023322,-179.5970209289313,147.56913573825156,Fish
2018,-298.0543474972358,665.266917330825,-238.00249308470396,130.3863259499003,557.6507501960214,-133.75504091625606,140.38776463463986,Fish
2019,-250.33116107064416,765.2617201596175,-348.9137726367516,163.84085145268946,580.1887989755554,-179.37570275084383,170.11108916847977,Fish
1996,-10.683848329279602,639.273900116728,-496.77463196534086,155.04992684880517,297.5491950001923,-171.22040746912458,134.26280548704474,Mendota
1997,-341.08320556841994,1005.7305809504853,-500.4460219289277,157.04352345695335,662.328082478511,-171.8737666657682,155.10830736065688,Mendota
1998,-136.8627882280358,652.1619239987872,-405.1166825765911,121.81356416658859,368.8588055887847,-163.08920071368277,182.02845847424265,Mendota
1999,-130.7455543369824,760.782431200641,-471.2937168967814,145.34318548858673,434.8318997924463,-158.70508019683965,166.56813337353296,Mendota
2000,42.54064742106191,440.10375886082045,-400.01871304987543,132.24415541682552,172.32920122777054,-151.4628245661034,153.1445123503096,Mendota
2001,46.72248449056489,651.3774501253228,-481.7273867903273,151.50155468849445,321.15161802348996,-180.5147669487645,186.7116263475583,Mendota
2002,-675.6896902463739,1256.221070716839,-430.49824473049716,156.9511144281563,982.6739404144981,-146.7701948047924,130.33026750022583,Mendota
2003,-226.26661153886147,864.6394765906123,-505.7828424984415,155.11243695559034,513.9690710477612,-147.63942674173282,163.23301010227118,Mendota
2004,-490.5884129080414,1086.8521404265061,-454.61128447241657,149.29812340393667,781.5389793580262,-157.53744757502804,142.65575121488317,Mendota
2005,-20.667078057009185,771.1469447932968,-588.455379417833,158.6111876072427,341.3027529827065,-175.86916505324078,177.83257721766054,Mendota
2006,-159.25249188225467,783.737534351972,-453.6170724564462,169.66778812414623,499.7882500196721,-188.4123019470729,152.41069635643038,Mendota
2007,64.9031098002667,509.48399059761823,-468.50925959735173,119.95482885758099,160.9295598578475,-160.04814233031323,128.89238427128953,Mendota
2008,-307.45984571981444,876.9904799345971,-409.06386247783644,140.01666095131947,607.9432784080802,-188.04275879708197,156.83646611618914,Mendota
