obsdata,simdata,id,type
9100,8404.354285032185,Allequash,Epilimnion
8700,8424.726460614975,Allequash,Epilimnion
8438.09523809524,8634.287663892941,Allequash,Epilimnion
8638.095238095239,8487.912696217143,Allequash,Epilimnion
9000,8488.815065441959,Allequash,Epilimnion
8200,7855.159409474435,Allequash,Epilimnion
8971.42857142857,8708.414871936859,Allequash,Epilimnion
8800,8311.335810320688,Allequash,Epilimnion
8700,10486.890452698171,Allequash,Epilimnion
11900,11034.5634438811,Allequash,Epilimnion
9913.33333333333,9901.871235115925,Allequash,Epilimnion
10000,8428.304014860994,Allequash,Epilimnion
8771.42857142857,9253.609626463083,Allequash,Epilimnion
8371.42857142857,7815.34660895286,Allequash,Epilimnion
8271.42857142857,7956.718260605371,Allequash,Epilimnion
8528.57142857143,8536.52874532698,Allequash,Epilimnion
9071.428571428569,8847.373064975267,Allequash,Epilimnion
8600,8748.186143079034,Allequash,Epilimnion
9680.95238095238,9267.872902906203,Allequash,Epilimnion
9500,8624.062733401764,Allequash,Epilimnion
8500,7780.526081437426,Allequash,Hypolimnion
6385.71428571428,6066.90393626361,Allequash,Hypolimnion
2276.92307692308,4783.781729209843,Allequash,Hypolimnion
3033.3333333333303,2455.6739633455973,Allequash,Hypolimnion
1916.6666666666702,1522.1462179371931,Allequash,Hypolimnion
6650,7319.429201443199,Allequash,Hypolimnion
5910,5994.622902908295,Allequash,Hypolimnion
2816.66666666667,4117.1093756068585,Allequash,Hypolimnion
6370,5087.4343184218205,Allequash,Hypolimnion
4280,3491.2569534041186,Allequash,Hypolimnion
3270,3228.343794571041,Allequash,Hypolimnion
1833.3333333333298,6294.449716599663,Allequash,Hypolimnion
7700,7638.562345738132,Allequash,Hypolimnion
8433.33333333333,6501.543289590033,Allequash,Hypolimnion
9060,8987.313618401171,Allequash,Hypolimnion
8116.666666666671,7499.037681875721,Allequash,Hypolimnion
8330,8035.768571018737,Allequash,Hypolimnion
7190,6551.134201870968,Allequash,Hypolimnion
4470,4577.01367882726,Allequash,Hypolimnion
3220,4162.168742326037,Allequash,Hypolimnion
3830,3287.8672651017832,Allequash,Hypolimnion
3533.3333333333303,3904.7608492598943,Allequash,Hypolimnion
166.666666666667,331.46054367973335,Allequash,Hypolimnion
5900,4891.013951302653,Allequash,Hypolimnion
10200,9620.78206619178,Allequash,Hypolimnion
8750,8139.05358189561,Allequash,Hypolimnion
